id,external_id
1343,18901
1351,16158
1358,13479
1362,17187
1363,16801
1370,15870
1374,12754
1379,18178
1385,7023
1390,16082
1393,15385
1394,10784
1402,18603
1409,14397
1411,14002
1414,17313
1418,7665
1422,18354
1425,18320
1426,12395
1433,9545
1434,17658
1438,18971
1442,16444
1445,17154
1446,4208
1449,17927
1451,15363
1453,15721
1454,17637
1457,12972
1461,13843
1462,15067
1463,13959
1465,14676
1467,16800
1470,18979
1471,17901
1475,17236
1479,17047
1483,17858
1485,17829
1489,13965
1490,14701
1491,19723
1493,17364
1498,18401
1499,10938
1503,12549
1506,17449
1510,19159
1513,15726
1514,16272
1517,19160
1519,18742
1523,15869
1527,15788
1531,16083
1533,9546
1535,18337
1537,16528
1541,7743
1543,17656
1546,18049
1549,17009
1553,16727
1557,16394
1559,12217
1561,8038
1562,17439
1563,17751
1566,18517
1567,17657
1569,17780
1571,15955
1574,17370
1578,784
1579,13687
1581,13830
1582,12215
1586,11957
1587,785
1591,17846
1594,17878
1597,15293
1598,19373
1602,17931
1603,15260
1607,18834
1611,14378
1613,14980
1615,15114
1619,13688
1621,14149
1622,7025
1626,17377
1629,18050
1631,18632
1633,15956
1635,9926
1637,18515
1638,18646
1642,18857
1643,9228
1646,17935
1650,7084
1651,12134
1654,11678
1658,17139
1661,6369
1663,14135
1667,19022
1669,18977
1671,16602
1674,18367
1675,18657
1679,16595
1682,12478
1686,16282
1687,8092
1690,14875
1694,17422
1695,12216
1698,8597
1699,14594
1701,13695
1702,14394
1703,14262
1706,7943
1707,17703
1711,18394
1715,6390
1719,7400
1723,18518
1725,10458
1726,13721
1730,17792
1734,14376
1737,18516
1738,14008
1739,14736
1743,18366
1745,18125
1746,15486
1749,8327
1750,17597
1754,10792
1755,17357
1758,19209
1762,10864
1766,3496
1767,16235
1770,18900
1771,11480
1773,13110
1774,15871
1775,11279
1779,19593
1782,12210
1783,17357
1786,6389
1789,15154
1793,13470
1795,13676
1797,18353
1798,17319
1799,13370
1803,17168
1806,3624
1807,16412
1810,2625
1811,12696
1815,17450
1817,13975
1818,15531
1822,11131
1826,17238
1830,15667
1831,14399
1834,17859
1838,15362
1842,19547
1846,15886
1850,11310
1851,18912
1854,18913
1858,19482
1862,16603
1866,12723
1870,16453
1871,17120
1874,13468
1878,13842
1881,9993
1882,16421
1886,17137
1887,17119
1890,12724
1894,17042
1898,16049
1902,17156
1906,12955
1907,13467
1910,16047
1911,7887
1914,17186
1918,16712
1922,13480
1926,15091
1930,18326
1934,17414
1938,9550
1942,19430
1946,4209
1950,17146
1951,13136
1953,16134
1954,18716
1957,19167
1958,8696
1959,18030
1961,18562
1962,17839
1966,17996
1970,19673
1974,16713
1978,16232
1982,13960
1986,16233
1990,14877
1994,18218
1998,16529
2002,10279
2003,16308
2006,18558
2010,17105
2014,18215
2018,17941
2022,18216
2026,16277
2030,13469
2034,15069
2038,18732
2042,18987
2046,15483
2050,18954
2054,17199
2055,16716
2058,17012
2062,18563
2066,15765
2070,17755
2071,14060
2073,7267
2077,13588
2078,15512
2081,15484
2082,12211
2086,15484
2090,18989
2094,6391
2098,18376
2102,13720
2106,18957
2107,16360
2110,16437
2114,17529
2118,6847
2122,18486
2126,17014
2129,14651
2130,4279
2134,18442
2135,17136
2138,11275
2139,18158
2141,16427
2143,19251
2146,11438
2149,9903
2150,14151
2153,18217
2154,16390
2158,17008
2162,16738
2166,18956
2170,17045
2174,18520
2178,19329
2182,18519
2186,17837
2190,19327
2194,13058
2198,17065
2199,18844
2202,17067
2206,17094
2210,18039
2211,17235
2213,7269
2214,18916
2217,18659
2218,16763
2222,16434
2226,19592
2230,18446
2234,10121
2238,16389
2242,2731
2246,17608
2247,9905
2250,5477
2251,14379
2254,2537
2255,11273
2258,7270
2262,18040
2265,15053
2266,9398
2267,15155
2269,7268
2270,17305
2273,16703
2274,12136
2277,1608
2278,15123
2279,19594
2281,1607
2282,17358
2286,13485
2289,13484
2290,18994
2293,13740
2294,16766
2297,17559
2298,18988
2299,18133
2301,18179
2303,16574
2305,19432
2307,16760
2309,13646
2310,16328
2311,9415
2314,17528
2318,11677
2322,13817
2326,16531
2329,6143
2330,16214
2334,17237
2335,8509
2338,18088
2341,18946
2342,17607
2343,18379
2346,17643
2350,8507
2354,17958
2357,18894
2358,16507
2361,19376
2362,19411
2366,11317
2370,14662
2374,17097
2377,18377
2378,13482
2379,19608
2382,16508
2386,8616
2390,16220
2394,13590
2398,9872
2402,18017
2406,14983
2410,18045
2414,14882
2415,17010
2418,2732
2419,18028
2422,16575
2423,18021
2426,17318
2430,17312
2434,13109
2438,18019
2442,18044
2446,16970
2447,13719
2450,16532
2454,17314
2458,18020
2462,15511
2466,19207
2467,15203
2470,15135
2474,15686
2478,12229
2482,18978
2486,14652
2490,14811
2494,18042
2498,14965
2502,12227
2506,15146
2510,16423
2514,18984
2518,18047
2522,16835
2526,16236
2527,18866
2530,18343
2534,16834
2535,16422
2538,16605
2542,17500
2546,16219
2550,18138
2554,18305
2558,18137
2562,16180
2566,15206
2570,15294
2574,9855
2578,10848
2579,9858
2582,13219
2586,13221
2590,18089
2594,19617
2598,18773
2602,17203
2606,7747
2610,9669
2614,16762
2618,16686
2622,17381
2626,17383
2630,17384
2634,17385
2638,19375
2642,1610
2646,1612
2650,10849
2654,16399
2658,14377
2662,3310
2666,14592
2670,15513
2674,18029
2678,18965
2679,16533
2683,13504
2687,17096
2690,16669
2694,13503
2695,18417
2699,17993
2702,18043
2706,18966
2710,16671
2714,17248
2715,16446
2718,18046
2722,18972
2726,17992
2729,16544
2733,16448
2734,18973
2735,19579
2738,16451
2742,18508
2746,18336
2750,16570
2751,11522
2753,13696
2757,17945
2758,10399
2762,12152
2766,17173
2767,12199
2771,6062
2773,8169
2775,6063
2779,18960
2782,17155
2786,13131
2787,14339
2790,16880
2794,8239
2798,18335
2799,2108
2801,9467
2802,16572
2805,18507
2807,15144
2809,18975
2810,10768
2814,12133
2818,12471
2822,19578
2823,17249
2826,16665
2830,16670
2831,18809
2834,19169
2838,18626
2842,13036
2846,19433
2849,19187
2851,6714
2854,17048
2858,2109
2859,18993
2861,18542
2862,16666
2863,19442
2867,9457
2871,19168
2875,16026
2878,15068
2879,16327
2882,13848
2883,15124
2886,16419
2887,13505
2890,13105
2891,6812
2895,15588
2897,5290
2898,15585
2901,16667
